,player_1_won,player_2_won,date,maxw,maxl,avgw,avgl
18419,0,1,2007-04-09,1.588,2.62,1.5093333333333334,2.5733333333333337
18420,0,1,2007-04-09,2.46,1.7,2.265,1.6301999999999999
18410,1,0,2007-04-09,2.2,1.8,2.0149999999999997,1.7678
18412,0,1,2007-04-09,1.385,3.4,1.33625,3.22
18413,0,1,2007-04-09,1.66,2.62,1.6102499999999997,2.3280000000000003
18411,1,0,2007-04-09,2.57,1.599,2.4225,1.5558
18415,1,0,2007-04-09,4.2,1.286,3.9000000000000004,1.2532
18416,1,0,2007-04-09,2.23,1.78,2.0700000000000003,1.7255
18417,0,1,2007-04-09,1.73,2.27,1.6866666666666665,2.1775
18418,0,1,2007-04-09,1.085,10.75,1.07625,8.15
18414,1,0,2007-04-09,2.13,1.88,1.9425,1.8206
18409,1,0,2007-04-09,3.0,1.51,2.8200000000000003,1.438
18557,0,1,2007-04-23,1.5,2.83,1.47075,2.636
18556,1,0,2007-04-23,3.7,1.333,3.5250000000000004,1.30075
18549,1,0,2007-04-23,1.149,7.25,1.1022500000000002,6.970000000000001
18555,0,1,2007-04-23,1.233,4.89,1.233,4.89
18554,0,1,2007-04-23,1.417,3.2,1.38675,2.964
18553,0,1,2007-04-23,1.8,2.23,1.763,2.028
18552,0,1,2007-04-23,1.629,2.49,1.59225,2.346
18551,0,1,2007-04-23,2.26,1.735,2.185,1.6789999999999998
18550,1,0,2007-04-23,2.66,1.568,2.49,1.5356
18544,0,1,2007-04-23,1.68,2.37,1.6199999999999999,2.266
18547,0,1,2007-04-23,1.365,3.54,1.3312500000000003,3.2880000000000003
18546,0,1,2007-04-23,1.662,2.41,1.5905,2.352
18545,0,1,2007-04-23,2.18,1.8,2.0825,1.72
18543,0,1,2007-04-23,1.385,3.4,1.33375,3.154
18542,0,1,2007-04-23,1.446,3.04,1.446,3.04
18541,1,0,2007-04-23,1.392,3.5,1.318,3.3480000000000003
18540,0,1,2007-04-23,,,,
18558,0,1,2007-04-23,1.385,3.4,1.3512499999999998,3.198
18539,0,1,2007-04-23,3.75,1.35,3.3666666666666667,1.332
18548,0,1,2007-04-23,1.163,6.75,1.1157500000000002,6.36
18559,1,0,2007-04-23,1.469,2.93,1.42725,2.74
18572,0,1,2007-04-23,1.709,2.35,1.63475,2.232
18561,0,1,2007-04-23,2.4,1.667,2.3899999999999997,1.599
18538,0,1,2007-04-23,1.238,6.75,1.1545,5.476
18581,0,1,2007-04-23,1.72,2.32,1.696,2.15
18580,0,1,2007-04-23,1.182,6.0,1.158,5.28
18579,1,0,2007-04-23,1.7,2.5,1.62625,2.29
18578,0,1,2007-04-23,1.091,10.0,1.0777500000000002,7.9
18577,1,0,2007-04-23,1.41,3.35,1.3675000000000002,3.158
18576,0,1,2007-04-23,1.2,6.1,1.17225,4.994000000000001
18575,1,0,2007-04-23,1.111,8.75,1.08525,7.308
18574,1,0,2007-04-23,2.3,1.741,2.1950000000000003,1.6702
18560,0,1,2007-04-23,1.971,1.935,1.87025,1.903
18573,0,1,2007-04-23,1.152,7.0,1.108,6.5680000000000005
18570,0,1,2007-04-23,1.37,3.5,1.3325,3.304
18569,1,0,2007-04-23,1.15,7.1,1.12975,5.9799999999999995
18568,1,0,2007-04-23,5.0,1.239,4.5475,1.2018
18567,1,0,2007-04-23,2.44,1.67,2.2474999999999996,1.6438
18566,1,0,2007-04-23,2.44,1.65,2.31,1.5997999999999999
18565,0,1,2007-04-23,1.183,7.0,1.12325,6.109999999999999
18564,1,0,2007-04-23,1.183,7.0,1.12575,5.904
18563,0,1,2007-04-23,1.65,2.46,1.59775,2.3020000000000005
18562,1,0,2007-04-23,1.7,2.38,1.654,2.1819999999999995
18571,0,1,2007-04-23,1.125,8.2,1.1062500000000002,6.890000000000001
18537,0,1,2007-04-23,,,,
18536,1,0,2007-04-23,1.241,5.0,1.18275,4.7
18492,0,1,2007-04-23,2.95,1.465,2.95,1.465
18510,0,1,2007-04-23,1.196,5.59,1.1615,5.198
18509,0,1,2007-04-23,1.1,11.25,1.0805000000000002,8.0
18508,0,1,2007-04-23,1.275,4.34,1.2483333333333333,3.9825
18507,0,1,2007-04-23,1.206,5.46,1.184,4.712000000000001
18505,0,1,2007-04-23,1.9,4.5,1.3725,4.188000000000001
18504,1,0,2007-04-23,1.187,5.85,1.1492499999999999,5.390000000000001
18503,0,1,2007-04-23,4.0,1.316,3.8649999999999998,1.2631999999999999
18502,0,1,2007-04-23,1.15,7.3,1.12325,6.18
18501,0,1,2007-04-23,3.67,1.35,3.4274999999999998,1.3094000000000001
18511,0,1,2007-04-23,3.41,1.4,3.1149999999999998,1.3646
18500,1,0,2007-04-23,1.25,4.71,1.24075,4.042
18498,0,1,2007-04-23,1.19,5.85,1.18425,4.736
18497,0,1,2007-04-23,1.325,4.1,1.26875,3.656
18496,0,1,2007-04-23,1.68,2.45,1.6124999999999998,2.33
18495,0,1,2007-04-23,2.52,1.617,2.3975,1.5594
18494,1,0,2007-04-23,2.37,1.68,2.225,1.642
18493,0,1,2007-04-23,3.39,2.05,2.2875,1.7559999999999998
18491,0,1,2007-04-23,2.26,1.77,2.1775,1.6629999999999998
18490,1,0,2007-04-23,3.25,1.415,3.165,1.365
18535,0,1,2007-04-23,1.685,2.36,1.63875,2.218
18499,1,0,2007-04-23,1.58,2.74,1.54575,2.482
18512,1,0,2007-04-23,1.571,2.75,1.51525,2.59
18506,0,1,2007-04-23,1.595,2.58,1.5412499999999998,2.478
18514,1,0,2007-04-23,1.083,11.11,1.06575,8.739999999999998
18534,0,1,2007-04-23,1.571,2.94,1.4477499999999999,2.718
18533,0,1,2007-04-23,1.55,2.76,1.53475,2.4619999999999997
18532,0,1,2007-04-23,1.435,3.25,1.3662500000000002,3.08
18531,1,0,2007-04-23,3.27,1.93,2.3666666666666667,1.57625
18513,0,1,2007-04-23,2.97,1.48,2.7675,1.4422000000000001
18529,1,0,2007-04-23,2.57,1.599,2.4050000000000002,1.5518
18528,1,0,2007-04-23,1.097,10.0,1.06675,8.556000000000001
18527,1,0,2007-04-23,1.524,2.78,1.4634999999999998,2.646
18526,1,0,2007-04-23,1.018,36.0,1.012,21.2
18525,1,0,2007-04-23,1.595,2.58,1.56375,2.416
18530,1,0,2007-04-23,2.46,1.641,2.3633333333333333,1.6036666666666666
18523,1,0,2007-04-23,1.556,2.7,1.534,2.474
18522,1,0,2007-04-23,1.7,2.64,1.6212499999999999,2.294
18521,0,1,2007-04-23,1.015,46.5,1.01125,23.6
18520,1,0,2007-04-23,1.048,16.8,1.0395,11.41
18519,1,0,2007-04-23,2.85,1.524,2.8074999999999997,1.4327999999999999
18518,1,0,2007-04-23,1.061,14.0,1.04525,10.5
18517,1,0,2007-04-23,4.18,1.287,3.8324999999999996,1.2634
18516,0,1,2007-04-23,1.021,33.5,1.01525,20.4
18524,0,1,2007-04-23,3.38,1.388,3.17,1.3576000000000001
18515,0,1,2007-04-23,1.074,11.57,1.0585,8.964
18599,0,1,2007-04-30,1.3,4.2,1.2715,3.7119999999999997
18600,1,0,2007-04-30,1.55,2.84,1.5150000000000001,2.5060000000000002
18601,1,0,2007-04-30,1.41,3.24,1.3675000000000002,3.1119999999999997
18602,0,1,2007-04-30,1.917,1.99,1.84925,1.9280000000000002
18603,0,1,2007-04-30,1.422,3.17,1.3804999999999998,3.0119999999999996
18604,0,1,2007-04-30,1.769,2.37,1.65225,2.2039999999999997
18608,1,0,2007-04-30,1.45,3.05,1.4434999999999998,2.7979999999999996
18606,0,1,2007-04-30,1.53,2.78,1.4985,2.54
18607,1,0,2007-04-30,1.122,8.4,1.0955000000000001,7.2299999999999995
18609,0,1,2007-04-30,2.59,1.592,2.51,1.5244
18610,1,0,2007-04-30,2.37,1.68,2.2925,1.6239999999999999
18598,1,0,2007-04-30,1.299,4.04,1.25475,3.9160000000000004
18605,0,1,2007-04-30,1.57,2.67,1.54125,2.472
18597,0,1,2007-04-30,,,,
18586,1,0,2007-04-30,1.25,4.67,1.23,4.273999999999999
18595,1,0,2007-04-30,1.306,4.33,1.259,3.868
18596,0,1,2007-04-30,,,,
18583,1,0,2007-04-30,1.5,2.83,1.46575,2.666
18584,1,0,2007-04-30,1.66,2.65,1.6127500000000001,2.306
18585,1,0,2007-04-30,1.51,2.81,1.5025,2.5620000000000003
18587,0,1,2007-04-30,2.37,1.68,2.2750000000000004,1.665
18588,0,1,2007-04-30,2.43,1.7,2.34,1.641333333333333
18582,1,0,2007-04-30,2.37,1.719,2.3425000000000002,1.5917999999999999
18590,1,0,2007-04-30,1.704,2.32,1.6585,2.2039999999999997
18591,1,0,2007-04-30,1.269,4.42,1.24725,3.4699999999999998
18592,0,1,2007-04-30,1.3,4.1,1.2810000000000001,3.71
18593,0,1,2007-04-30,3.27,2.74,2.675,1.6550000000000005
18594,1,0,2007-04-30,,,,
18589,0,1,2007-04-30,1.461,2.97,1.4505,2.795
18649,1,0,2007-05-07,2.0,1.926,1.9649999999999999,1.8332000000000002
18648,0,1,2007-05-07,1.88,2.41,1.7305,2.104
18647,1,0,2007-05-07,6.65,1.18,5.5625,1.154
18646,0,1,2007-05-07,1.014,53.5,1.011,25.992
18645,1,0,2007-05-07,1.8,2.25,1.7702499999999999,2.05
18642,1,0,2007-05-07,1.227,5.4,1.16925,4.974
18643,0,1,2007-05-07,1.25,8.75,1.1677499999999998,5.384
18641,0,1,2007-05-07,2.35,1.69,2.2625,1.6280000000000001
18640,1,0,2007-05-07,2.85,1.556,2.6925000000000003,1.4692
18650,0,1,2007-05-07,1.909,2.0,1.8547500000000001,1.936
18644,0,1,2007-05-07,1.4,3.44,1.35725,3.226
18651,0,1,2007-05-07,1.5,3.04,1.439,2.7540000000000004
18639,0,1,2007-05-07,1.8,2.23,1.7605,2.06
18653,0,1,2007-05-07,1.93,2.0,1.8715,1.9200000000000004
18654,1,0,2007-05-07,1.7,2.5,1.62925,2.3
18655,0,1,2007-05-07,1.6,2.78,1.5485000000000002,2.4519999999999995
18656,1,0,2007-05-07,1.334,3.69,1.3110000000000002,3.378
18657,0,1,2007-05-07,1.129,9.0,1.08475,7.65
18658,0,1,2007-05-07,2.1,1.88,2.0374999999999996,1.7810000000000001
18659,1,0,2007-05-07,2.83,1.53,2.6449999999999996,1.4826000000000001
18660,1,0,2007-05-07,1.12,10.0,1.09525,7.4
18661,1,0,2007-05-07,2.33,1.77,2.1574999999999998,1.7158000000000002
18662,0,1,2007-05-07,1.8,2.22,1.6975,2.1320000000000006
18663,0,1,2007-05-07,1.05,17.28,1.04175,11.556000000000001
18664,1,0,2007-05-07,1.2,5.55,1.1795,4.944
18652,0,1,2007-05-07,13.05,1.066,11.7625,1.0392
18638,0,1,2007-05-07,1.2,5.6,1.194,4.636
18613,1,0,2007-05-07,1.18,6.31,1.1529999999999998,5.461999999999999
18636,0,1,2007-05-07,1.55,2.78,1.5285,2.476
18637,1,0,2007-05-07,1.372,3.5,1.3330000000000002,3.3280000000000003
18611,1,0,2007-05-07,1.3,4.11,1.28075,3.654
18612,0,1,2007-05-07,1.33,5.64,1.2112500000000002,4.538
18614,0,1,2007-05-07,1.1,9.0,1.0650000000000002,8.437999999999999
18616,0,1,2007-05-07,3.34,1.44,3.085,1.3868
18617,0,1,2007-05-07,1.218,5.18,1.1844999999999999,4.608
18618,0,1,2007-05-07,1.282,4.24,1.2705000000000002,3.6980000000000004
18619,1,0,2007-05-07,2.0,7.0,1.7537500000000001,2.8662
18620,0,1,2007-05-07,1.77,2.26,1.7312500000000002,2.078
18621,0,1,2007-05-07,2.76,1.538,2.7325000000000004,1.4536000000000002
18622,0,1,2007-05-07,1.352,3.64,1.3405,3.258
18623,1,0,2007-05-07,1.403,3.28,1.3643333333333334,3.1449999999999996
18615,1,0,2007-05-07,4.0,1.87,2.505,1.7014
18625,0,1,2007-05-07,1.633,2.6,1.5407499999999998,2.4539999999999997
18626,1,0,2007-05-07,1.35,3.91,1.303,3.492
18627,0,1,2007-05-07,1.8,2.15,1.7366666666666666,2.0949999999999998
18628,1,0,2007-05-07,1.549,2.72,1.47225,2.6580000000000004
18629,0,1,2007-05-07,1.5,3.0,1.43625,2.7659999999999996
18630,0,1,2007-05-07,1.27,5.16,1.2247500000000002,4.2
18631,0,1,2007-05-07,3.26,1.42,2.9899999999999998,1.3974
18632,1,0,2007-05-07,1.351,3.65,1.32025,3.35
18635,1,0,2007-05-07,2.02,1.962,1.9876666666666667,1.8279999999999998
18633,0,1,2007-05-07,1.833,2.3,1.70325,2.1020000000000003
18634,1,0,2007-05-07,1.143,7.5,1.10325,6.76
18624,1,0,2007-05-07,1.33,3.75,1.3145000000000002,3.442
18714,0,1,2007-05-14,1.136,7.64,1.1165,6.498
18718,1,0,2007-05-14,1.3,4.49,1.2856666666666667,3.7600000000000002
18717,0,1,2007-05-14,1.37,3.55,1.3535000000000001,3.1979999999999995
18713,0,1,2007-05-14,1.524,2.85,1.4535,2.7399999999999998
18719,0,1,2007-05-14,1.25,4.6,1.21,4.35
18716,0,1,2007-05-14,2.19,1.88,1.9574999999999998,1.8369999999999997
18712,0,1,2007-05-14,1.397,3.32,1.3642500000000002,3.1480000000000006
18707,0,1,2007-05-14,1.09,11.0,1.07575,8.378
18710,1,0,2007-05-14,2.23,1.752,2.1025,1.7284
18709,1,0,2007-05-14,2.78,1.65,2.3975,1.5608
18708,1,0,2007-05-14,3.65,1.351,3.3875,1.3302
18706,0,1,2007-05-14,1.08,12.0,1.0702500000000001,8.687999999999999
18705,1,0,2007-05-14,3.43,1.38,3.3325,1.346
18704,1,0,2007-05-14,1.146,7.26,1.1115,6.601999999999999
18720,1,0,2007-05-14,1.806,2.4,1.719,2.1180000000000003
18711,0,1,2007-05-14,2.53,1.613,2.4600000000000004,1.56325
18721,0,1,2007-05-14,1.82,2.2,1.73575,2.0940000000000003
18733,0,1,2007-05-14,3.0,1.48,2.8725,1.4294
18723,0,1,2007-05-14,1.45,3.23,1.3980000000000001,3.0
18739,1,0,2007-05-14,1.67,2.44,1.63225,2.264
18738,0,1,2007-05-14,1.5,2.85,1.4695,2.62
18737,0,1,2007-05-14,4.05,1.3,3.8999999999999995,1.2657999999999998
18736,0,1,2007-05-14,3.65,1.37,3.2625,1.3522
18735,1,0,2007-05-14,1.147,7.2,1.12925,5.854000000000001
18734,0,1,2007-05-14,1.694,2.34,1.6509999999999998,2.214
18703,1,0,2007-05-14,1.397,3.75,1.31675,3.4425
18722,0,1,2007-05-14,1.18,6.29,1.15,5.428
18732,1,0,2007-05-14,1.417,3.2,1.39425,2.9639999999999995
18730,0,1,2007-05-14,2.02,1.93,1.89,1.8805999999999998
18729,0,1,2007-05-14,1.12,9.1,1.1022500000000002,6.760000000000001
18728,1,0,2007-05-14,1.5,2.92,1.4729999999999999,2.618
18727,1,0,2007-05-14,1.182,6.0,1.1405,5.659999999999999
18726,1,0,2007-05-14,2.7,1.645,2.5375,1.529
18725,1,0,2007-05-14,1.377,3.5,1.3442500000000002,3.2300000000000004
18724,1,0,2007-05-14,1.247,5.0,1.17925,4.668
18731,0,1,2007-05-14,1.22,5.2,1.18925,4.63
18702,0,1,2007-05-14,1.25,5.1,1.213,4.47
18715,1,0,2007-05-14,2.4,1.667,2.325,1.6134
18700,0,1,2007-05-14,1.26,4.54,1.2174999999999998,4.206
18679,0,1,2007-05-14,1.25,4.6,1.2125,4.3759999999999994
18678,0,1,2007-05-14,1.287,4.19,1.25925,3.81
18677,1,0,2007-05-14,1.96,2.13,1.8632499999999999,1.916
18676,0,1,2007-05-14,1.578,2.63,1.5570000000000002,2.4059999999999997
18675,0,1,2007-05-14,1.4,3.36,1.3802500000000002,3.0319999999999996
18674,1,0,2007-05-14,1.06,16.0,1.0550000000000002,10.25
18673,1,0,2007-05-14,1.19,6.0,1.178,4.798
18672,0,1,2007-05-14,1.19,6.3,1.1679999999999997,5.08
18671,1,0,2007-05-14,1.45,3.21,1.42125,2.8500000000000005
18669,0,1,2007-05-14,1.333,3.75,1.29075,3.6279999999999992
18668,0,1,2007-05-14,1.42,3.45,1.38175,3.0620000000000003
18667,0,1,2007-05-14,1.847,2.2,1.7267499999999998,2.056
18666,1,0,2007-05-14,1.083,11.0,1.06075,9.5
18665,0,1,2007-05-14,3.05,1.5,2.7249999999999996,1.4548
18701,1,0,2007-05-14,1.6,3.08,1.49475,2.594
18680,1,0,2007-05-14,1.6,2.58,1.56875,2.416
18681,0,1,2007-05-14,1.457,2.99,1.4292500000000001,2.818
18670,1,0,2007-05-14,2.13,1.87,2.0175,1.7986
18683,1,0,2007-05-14,1.735,2.26,1.69125,2.128
18699,1,0,2007-05-14,1.121,9.0,1.08275,8.028
18682,1,0,2007-05-14,1.552,2.71,1.483,2.6060000000000003
18698,0,1,2007-05-14,2.14,1.806,2.01,1.7792000000000001
18697,1,0,2007-05-14,1.455,3.0,1.43125,2.814
18695,1,0,2007-05-14,4.75,1.241,4.4125,1.2002
18694,1,0,2007-05-14,1.388,4.0,1.3094999999999999,3.6159999999999997
18693,0,1,2007-05-14,1.12,8.65,1.1020000000000003,6.948
18692,0,1,2007-05-14,1.559,2.8,1.4922499999999999,2.6479999999999997
18696,0,1,2007-05-14,1.7,2.35,1.675,2.1559999999999997
18690,1,0,2007-05-14,1.524,2.78,1.491,2.5959999999999996
18689,1,0,2007-05-14,1.02,36.0,1.0175,18.5
18688,0,1,2007-05-14,1.909,2.05,1.89225,1.922
18684,1,0,2007-05-14,1.606,2.55,1.5514999999999999,2.4219999999999997
18687,1,0,2007-05-14,1.085,10.75,1.07125,8.4
18686,1,0,2007-05-14,3.18,1.42,2.9699999999999998,1.4
18691,1,0,2007-05-14,1.67,2.44,1.63725,2.276
18685,0,1,2007-05-14,2.71,1.62,2.4025,1.5803999999999998
18809,0,1,2007-06-11,6.25,1.18,5.175,1.1628
18810,1,0,2007-06-11,1.171,6.36,1.15775,5.151999999999999
18811,1,0,2007-06-11,2.99,1.48,2.7550000000000003,1.4354
18812,1,0,2007-06-11,3.56,1.42,3.1774999999999998,1.3623999999999998
18814,1,0,2007-06-11,3.49,1.372,3.33,1.3255000000000001
18815,0,1,2007-06-11,10.75,1.1,8.166666666666666,1.0837500000000002
18816,1,0,2007-06-11,1.364,3.55,1.3235000000000001,3.336
18808,0,1,2007-06-11,2.03,1.9,1.8933333333333333,1.8950000000000002
18817,1,0,2007-06-11,1.714,2.3,1.6684999999999999,2.1759999999999997
18813,1,0,2007-06-11,1.13,8.36,1.1065,6.562
18807,1,0,2007-06-11,1.03,26.0,1.02725,14.7
18799,1,0,2007-06-11,5.0,1.241,4.6375,1.1982000000000002
18805,1,0,2007-06-11,1.518,2.8,1.477,2.5940000000000003
18804,1,0,2007-06-11,4.02,1.301,3.6799999999999997,1.2822
18803,1,0,2007-06-11,2.02,2.09,1.94,1.842
18802,1,0,2007-06-11,1.662,3.0,1.448,2.772
18801,1,0,2007-06-11,1.645,2.58,1.5437500000000002,2.456
18800,1,0,2007-06-11,1.2,5.5,1.1849999999999998,4.609999999999999
18798,1,0,2007-06-11,1.37,3.82,1.31525,3.34
18797,1,0,2007-06-11,1.5,3.02,1.4449999999999998,2.728
18796,1,0,2007-06-11,3.31,1.45,3.0275,1.3856000000000002
18795,0,1,2007-06-11,2.26,1.735,2.1975,1.661
18818,0,1,2007-06-11,1.189,5.8,1.16725,5.2
18806,0,1,2007-06-11,1.55,2.88,1.5103333333333335,2.4825
18819,0,1,2007-06-11,3.0,1.493,2.8766666666666665,1.41825
18837,0,1,2007-06-11,1.51,2.85,1.4575,2.736
18821,1,0,2007-06-11,1.83,2.29,1.7222500000000003,2.116
18794,1,0,2007-06-11,2.06,1.9,1.9125,1.8724
18844,1,0,2007-06-11,1.63,2.68,1.564,2.44
18843,0,1,2007-06-11,1.28,4.47,1.2562499999999999,3.8839999999999995
18842,1,0,2007-06-11,2.87,2.6,2.4645,1.674
18841,1,0,2007-06-11,4.8,1.238,4.595000000000001,1.1995999999999998
18840,1,0,2007-06-11,1.606,2.62,1.549,2.4200000000000004
18839,1,0,2007-06-11,1.365,3.54,1.3362500000000002,3.268
18838,0,1,2007-06-11,1.29,4.3,1.2325,4.088
18836,1,0,2007-06-11,1.304,3.99,1.286,3.598
18845,0,1,2007-06-11,1.21,5.37,1.1933333333333334,4.823333333333333
18834,0,1,2007-06-11,5.95,1.183,5.2875,1.1565999999999999
18833,0,1,2007-06-11,1.377,3.5,1.32175,3.34
18832,0,1,2007-06-11,1.685,2.37,1.6062500000000002,2.328
18831,1,0,2007-06-11,1.1,9.0,1.09,7.5475
18830,0,1,2007-06-11,8.5,1.13,7.825,1.088
18829,0,1,2007-06-11,1.87,2.1,1.78,2.016
18828,0,1,2007-06-11,,,,
18827,0,1,2007-06-11,1.31,3.93,1.27,3.718
18826,1,0,2007-06-11,1.392,3.55,1.333,3.34
18825,0,1,2007-06-11,1.68,2.37,1.66,2.2
18824,1,0,2007-06-11,1.376,3.5,1.3186666666666669,3.365
18823,1,0,2007-06-11,1.565,2.67,1.5487499999999998,2.4839999999999995
18822,1,0,2007-06-11,1.568,2.66,1.5259999999999998,2.4875000000000003
18820,1,0,2007-06-11,2.0,2.03,1.845,1.9438
18793,0,1,2007-06-11,1.3,4.28,1.27725,3.6879999999999997
18835,1,0,2007-06-11,1.33,3.8,1.31575,3.432
18791,0,1,2007-06-11,4.02,1.8,3.6799999999999997,1.3862
18762,1,0,2007-06-11,2.75,1.61,2.42,1.5724
18761,0,1,2007-06-11,2.19,1.775,2.11,1.707
18760,1,0,2007-06-11,1.37,3.55,1.346,3.2300000000000004
18759,1,0,2007-06-11,1.752,2.23,1.683,2.1559999999999997
18757,0,1,2007-06-11,1.25,4.61,1.21475,4.180000000000001
18756,1,0,2007-06-11,1.29,4.2,1.25,3.8720000000000008
18755,1,0,2007-06-11,1.329,3.75,1.29725,3.53
18754,1,0,2007-06-11,6.6,1.17,5.3500000000000005,1.1602000000000001
18753,0,1,2007-06-11,1.45,3.25,1.4144999999999999,2.872
18752,0,1,2007-06-11,2.2,1.9,2.0625,1.748
18751,1,0,2007-06-11,1.224,5.19,1.196,4.6899999999999995
18750,1,0,2007-06-11,2.62,1.581,2.4875,1.5322
18749,0,1,2007-06-11,1.95,2.09,1.83,1.95
18748,1,0,2007-06-11,1.826,2.11,1.7365,2.072
18747,1,0,2007-06-11,2.0,2.1,1.81325,1.988
18746,0,1,2007-06-11,18.9,1.06,12.35,1.0408000000000002
18745,0,1,2007-06-11,1.25,4.6,1.2025,4.4
18744,0,1,2007-06-11,2.73,1.57,2.515,1.529
18743,1,0,2007-06-11,1.23,4.94,1.2175,4.359999999999999
18742,1,0,2007-06-11,1.211,5.35,1.17525,4.864
18741,0,1,2007-06-11,1.286,4.5,1.234,4.034000000000001
18740,1,0,2007-06-11,1.143,7.3,1.12825,5.9799999999999995
18792,1,0,2007-06-11,1.17,8.05,1.12975,6.17
18763,1,0,2007-06-11,1.37,3.58,1.3625000000000003,3.1100000000000003
18764,0,1,2007-06-11,1.64,2.5,1.60875,2.27
18758,1,0,2007-06-11,1.09,10.75,1.08375,7.837999999999999
18766,0,1,2007-06-11,1.333,3.75,1.28075,3.658
18790,0,1,2007-06-11,1.22,6.3,1.178,4.934
18789,0,1,2007-06-11,1.2,5.85,1.17675,4.9625
18788,1,0,2007-06-11,2.2,1.769,2.1125000000000003,1.7117999999999998
18787,0,1,2007-06-11,1.77,2.25,1.74025,2.072
18786,1,0,2007-06-11,1.508,2.92,1.447,2.782
18765,0,1,2007-06-11,1.86,2.15,1.8225,1.9760000000000002
18784,1,0,2007-06-11,1.568,2.66,1.5070000000000001,2.5759999999999996
18783,1,0,2007-06-11,4.02,1.301,3.7675,1.2662
18782,1,0,2007-06-11,1.51,2.81,1.46,2.692
18781,1,0,2007-06-11,1.35,3.7,1.32575,3.418
18780,1,0,2007-06-11,1.19,5.75,1.1575,5.2700000000000005
18779,1,0,2007-06-11,1.222,5.11,1.1955,4.596
18785,1,0,2007-06-11,1.198,5.54,1.1769999999999998,4.898
18777,1,0,2007-06-11,1.25,4.9,1.22825,4.168
18778,0,1,2007-06-11,3.29,1.402,3.0975,1.3664
18767,0,1,2007-06-11,2.78,1.524,2.706666666666667,1.4646666666666668
18768,1,0,2007-06-11,1.346,3.85,1.294,3.5479999999999996
18769,1,0,2007-06-11,2.13,1.813,2.0825,1.7186
18771,1,0,2007-06-11,1.84,2.25,1.79525,2.0300000000000002
18770,1,0,2007-06-11,2.62,1.599,2.5600000000000005,1.5078
18772,0,1,2007-06-11,1.171,6.35,1.14775,5.450000000000001
18773,1,0,2007-06-11,1.15,7.15,1.1444999999999999,5.58
18774,1,0,2007-06-11,2.2,1.781,2.165,1.6782
18775,0,1,2007-06-11,1.575,2.75,1.47375,2.652
18776,1,0,2007-06-11,1.385,3.4,1.3562500000000002,3.175
18868,1,0,2007-06-18,1.55,2.81,1.5074999999999998,2.532
18865,1,0,2007-06-18,1.176,6.17,1.1565,5.334
18866,0,1,2007-06-18,1.38,3.52,1.3645,3.144
18867,0,1,2007-06-18,1.111,8.75,1.09275,7.3
18863,1,0,2007-06-18,4.1,1.312,3.7775,1.2643999999999997
18869,0,1,2007-06-18,1.333,3.75,1.30325,3.4299999999999997
18875,0,1,2007-06-18,1.57,2.4,1.56,2.325
18871,0,1,2007-06-18,1.476,4.33,1.2814999999999999,3.758
18872,0,1,2007-06-18,3.5,1.395,3.2175,1.3450000000000002
18873,0,1,2007-06-18,2.35,1.83,2.07,1.7239999999999998
18874,1,0,2007-06-18,1.9,1.87,1.9,1.835
18876,1,0,2007-06-18,1.806,2.14,1.7240000000000002,2.0900000000000003
18862,1,0,2007-06-18,1.28,4.44,1.2742499999999999,3.71
18870,0,1,2007-06-18,1.592,2.59,1.538,2.4419999999999997
18861,0,1,2007-06-18,1.2,5.71,1.188,4.682
18864,0,1,2007-06-18,1.376,3.75,1.3114999999999999,3.4620000000000006
18859,0,1,2007-06-18,2.03,1.885,1.9224999999999999,1.8509999999999998
18860,1,0,2007-06-18,1.37,3.6,1.35175,3.21
18846,0,1,2007-06-18,1.225,5.1,1.17875,4.709999999999999
18848,0,1,2007-06-18,1.2,6.0,1.16475,5.32
18849,1,0,2007-06-18,3.0,2.83,2.49825,1.702
18850,1,0,2007-06-18,1.42,3.25,1.38,3.11
18851,0,1,2007-06-18,1.599,2.57,1.55725,2.4379999999999997
18852,1,0,2007-06-18,2.41,1.662,2.28,1.6204999999999998
18847,0,1,2007-06-18,2.12,1.82,2.0675,1.7400000000000002
18854,1,0,2007-06-18,4.15,1.35,3.4625,1.3239999999999998
18855,1,0,2007-06-18,1.53,2.83,1.4909999999999999,2.595
18856,1,0,2007-06-18,2.11,1.88,1.9549999999999998,1.8352000000000004
18857,1,0,2007-06-18,1.88,2.15,1.8125,1.9799999999999998
18853,0,1,2007-06-18,1.35,3.7,1.3232500000000003,3.3200000000000003
18858,0,1,2007-06-18,1.358,3.59,1.3295000000000001,3.2620000000000005
18954,0,1,2007-06-25,1.637,2.6,1.54175,2.508
18955,0,1,2007-06-25,1.8,20.0,1.2605,8.094
18956,1,0,2007-06-25,2.41,1.662,2.2725,1.6204
18957,1,0,2007-06-25,1.017,41.0,1.01175,22.7
18958,1,0,2007-06-25,1.57,2.67,1.54125,2.502
18960,0,1,2007-06-25,1.05,17.0,1.0395,11.5
18961,0,1,2007-06-25,1.565,2.7,1.51375,2.56
18962,0,1,2007-06-25,1.37,3.51,1.36225,3.106
18963,1,0,2007-06-25,1.676,2.38,1.6165000000000003,2.252
18953,0,1,2007-06-25,1.138,7.55,1.1195,6.26
18959,0,1,2007-06-25,1.08,11.0,1.0575,8.937999999999999
18952,0,1,2007-06-25,1.72,2.31,1.7022499999999998,2.108
